Index,Time,Timestamp,Accumulated Generation Throughput (tokens/s),CPU Frequency,CPU Temperature
63,0.1478281021118164,9,6.532,4710,60.1
64,0.14856839179992676,9,6.535,4710,60.1
65,0.14820432662963867,9,6.538,4710,60.1
66,0.1506648063659668,10,6.539,4740,60.1
67,0.14689207077026367,10,6.543,4740,60.1
68,0.14470887184143066,10,6.548,4740,60.1
69,0.14434409141540527,10,6.554,4740,60.1
70,0.14983892440795898,10,6.555,4740,60.1
71,0.1441044807434082,10,6.560,4740,60.1
72,0.1449604034423828,10,6.565,4740,60.1
73,0.14493107795715332,11,6.569,5273,60.1
74,0.15012431144714355,11,6.570,5273,60.1
75,0.150801420211792,11,6.571,5273,60.1
76,0.14967751502990723,11,6.573,5273,60.1
77,0.14892053604125977,11,6.574,5273,60.1
78,0.14901375770568848,11,6.576,5273,60.1
79,0.14856815338134766,12,6.578,5090,60.8
80,0.1567223072052002,12,6.576,5090,60.8
81,0.16252422332763672,12,6.570,5090,60.8
82,0.16150903701782227,12,6.565,5090,60.8
83,0.16127300262451172,12,6.560,5090,60.8
84,0.16193628311157227,12,6.556,5090,60.8
85,0.16188836097717285,12,6.551,5090,60.8
86,0.1617441177368164,13,6.546,4915,61.0
87,0.14940142631530762,13,6.548,4915,61.0
88,0.14894509315490723,13,6.550,4915,61.0
89,0.1412203311920166,13,6.555,4915,61.0
90,0.14113926887512207,13,6.561,4915,61.0
91,0.14131855964660645,13,6.566,4915,61.0
92,0.14123940467834473,14,6.571,5076,61.0
93,0.14869356155395508,14,6.573,5076,61.0
94,0.1640925407409668,14,6.567,5076,61.0
95,0.16339445114135742,14,6.562,5076,61.0
96,0.16307353973388672,14,6.558,5076,61.0
97,0.16366314888000488,14,6.553,5076,61.0
98,0.16257810592651367,14,6.548,5076,61.0
99,0.16321682929992676,15,6.544,4511,60.9
100,0.1623976230621338,15,6.540,4511,60.9
101,0.15203237533569336,15,6.540,4511,60.9
102,0.13744044303894043,15,6.546,4511,60.9
103,0.1374826431274414,15,6.553,4511,60.9
104,0.13817763328552246,15,6.559,4511,60.9
105,0.13739824295043945,15,6.565,4511,60.9
106,0.13959574699401855,16,6.570,4887,60.8
107,0.13581252098083496,16,6.577,4887,60.8
108,0.13552355766296387,16,6.583,4887,60.8
109,0.13514995574951172,16,6.590,4887,60.8
110,0.13535404205322266,16,6.597,4887,60.8
111,0.13524580001831055,16,6.603,4887,60.8
112,0.13520598411560059,16,6.609,4887,60.8
113,0.1375446319580078,17,6.615,5295,61.0
114,0.14516282081604004,17,6.617,5295,61.0
115,0.13760972023010254,17,6.622,5295,61.0
116,0.1357893943786621,17,6.628,5295,61.0
117,0.13544583320617676,17,6.634,5295,61.0
118,0.13535642623901367,17,6.639,5295,61.0
119,0.13544917106628418,17,6.645,5295,61.0
120,0.13545584678649902,18,6.651,3919,61.0
121,0.13901042938232422,18,6.655,3919,61.0
122,0.13634014129638672,18,6.660,3919,61.0
123,0.1362161636352539,18,6.665,3919,61.0
124,0.13620662689208984,18,6.670,3919,61.0
125,0.1359868049621582,18,6.675,3919,61.0
126,0.13628911972045898,18,6.679,3919,61.0
127,0.13629579544067383,19,6.684,3919,61.0
128,0.13615942001342773,19,6.689,3919,61.0
